source,platform,source_type,title,text,description,url,published_at,published_date,date,country,user_name
News,website,news_api,Cote d’Ivoire Vs Nigeria: Tinubu to watch 2023 AFCON final,"Cote d’Ivoire Vs Nigeria: Tinubu to watch 2023 AFCON final President of the Federal Republic of Nigeria, His Excellency Bola Ahmed Tinubu will watch the 2023 Africa Cup of Nations (AFCON) final match between the Super Eagles and Cote d&#8217;Ivoire. The much-anticipated final of the 2023 Africa Cup of Nations (AFCON) will witness a showdown between two formidable teams, who had faced each other in &#8230;The post Cote d&#8217;Ivoire Vs Nigeria: Tinubu to watch 2023 AFCON final appeared first on SportsRation.","President of the Federal Republic of Nigeria, His Excellency Bola Ahmed Tinubu will watch the 2023 Africa Cup of Nations (AFCON) final match between the Super Eagles and Cote d&#8217;Ivoire. The much-anticipated final of the 2023 Africa Cup of Nations (AFCON) will witness a showdown between two formidable teams, who had faced each other in &#8230;The post Cote d&#8217;Ivoire Vs Nigeria: Tinubu to watch 2023 AFCON final appeared first on SportsRation.",https://sportsration.com/cote-divoire-vs-nigeria-tinubu-to-watch-2023-afcon-final/,2024-02-09T19:14:43+00:00,2024-02-09T19:14:43+00:00,2024-02-09T19:14:43+00:00,US,Sportsration: Nigeria Soccer | World Sports
News,website,news_api,Turning the humanitarian affairs ministry around,Turning the humanitarian affairs ministry around SIR: President Tinubu’s administration hit the ground running soon as he was sworn in as President of the Federal Republic of Nigeria. The subsidy removal regime has been putting more...The post Turning the humanitarian affairs ministry around appeared first on The Nation Newspaper.,SIR: President Tinubu’s administration hit the ground running soon as he was sworn in as President of the Federal Republic of Nigeria. The subsidy removal regime has been putting more...The post Turning the humanitarian affairs ministry around appeared first on The Nation Newspaper.,https://thenationonlineng.net/turning-the-humanitarian-affairs-ministry-around/,2024-01-09T23:05:02+00:00,2024-01-09T23:05:02+00:00,2024-01-09T23:05:02+00:00,US,thenationonlineng
News,website,news_api,TotalEnergies Reiterates Long-Term Commitment To Nigeria And Supports Country In Reducing Methane Emissions,"TotalEnergies Reiterates Long-Term Commitment To Nigeria And Supports Country In Reducing Methane Emissions Patrick Pouyanné, Chairman and CEO of TotalEnergies, met Monday in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria.Over the past decade, TotalEnergies has been the largest private energy investor in the country, developing major projects such as Egina, Ofon Phase 2, the OML 58 Upgrade, and recently Ikike, which started in 2022.The long-term commitment of the Company to Nigeria is also demonstrated by the continued exploration, evidenced by the Ntokon discovery in June 2023.TotalEnergies owns a...","Patrick Pouyanné, Chairman and CEO of TotalEnergies, met Monday in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria.Over the past decade, TotalEnergies has been the largest private energy investor in the country, developing major projects such as Egina, Ofon Phase 2, the OML 58 Upgrade, and recently Ikike, which started in 2022.The long-term commitment of the Company to Nigeria is also demonstrated by the continued exploration, evidenced by the Ntokon discovery in June 2023.TotalEnergies owns a...",https://api.follow.it/track-rss-story-click/v3/Qw9d99ManWfCkArANIsKqBeIF_fEM9tn,2023-12-18T16:46:10+00:00,2023-12-18T16:46:10+00:00,2023-12-18T16:46:10+00:00,US,eurasiareview
News,website,news_api,TotalEnergies Reiterates Its Long-term Commitment to Nigeria and Supports the Country in Reducing Methane Emissions,"TotalEnergies Reiterates Its Long-term Commitment to Nigeria and Supports the Country in Reducing Methane Emissions (marketscreener.com) Regulatory News:Patrick Pouyann&eacute;, Chairman and CEO of TotalEnergies, met today in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria.Over the past decade, TotalEnergies has been the largest private energy investor in the country,...https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-Reiterates-Its-Long-term-Commitment-to-Nigeria-and-Supports-the-Country-in-Reducing-Me-45591618/?utm_medium=RSS&utm_content=20231218","(marketscreener.com) Regulatory News:Patrick Pouyann&eacute;, Chairman and CEO of TotalEnergies, met today in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria.Over the past decade, TotalEnergies has been the largest private energy investor in the country,...https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-Reiterates-Its-Long-term-Commitment-to-Nigeria-and-Supports-the-Country-in-Reducing-Me-45591618/?utm_medium=RSS&utm_content=20231218",https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-Reiterates-Its-Long-term-Commitment-to-Nigeria-and-Supports-the-Country-in-Reducing-Me-45591618/?utm_medium=RSS&utm_content=20231218,2023-12-18T15:44:02+00:00,2023-12-18T15:44:02+00:00,2023-12-18T15:44:02+00:00,US,4-traders
News,website,news_api,TotalEnergies : reiterates its long-term commitment to Nigeria and supports the country in reducing methane emissions,"TotalEnergies : reiterates its long-term commitment to Nigeria and supports the country in reducing methane emissions (marketscreener.com) Download the Press Release Paris, December 18, 2023 - Patrick Pouyann&eacute;, Chairman and CEO of TotalEnergies, met today in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria. Over the past decade,...https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-reiterates-its-long-term-commitment-to-Nigeria-and-supports-the-country-in-reducing-45591496/?utm_medium=RSS&utm_content=20231218","(marketscreener.com) Download the Press Release Paris, December 18, 2023 - Patrick Pouyann&eacute;, Chairman and CEO of TotalEnergies, met today in Abuja with Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, to reaffirm the long-term partnership between TotalEnergies and Nigeria. Over the past decade,...https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-reiterates-its-long-term-commitment-to-Nigeria-and-supports-the-country-in-reducing-45591496/?utm_medium=RSS&utm_content=20231218",https://www.marketscreener.com/quote/stock/TOTALENERGIES-SE-4717/news/TotalEnergies-reiterates-its-long-term-commitment-to-Nigeria-and-supports-the-country-in-reducing-45591496/?utm_medium=RSS&utm_content=20231218,2023-12-18T15:29:08+00:00,2023-12-18T15:29:08+00:00,2023-12-18T15:29:08+00:00,US,4-traders
News,website,news_api,Africa can become the world’s green manufacturing powerhouse,"Africa can become the world’s green manufacturing powerhouse As the President of the Federal Republic of Nigeria, I lead a country of more than 200 million people. At the same time, in my role as chair of the...The post Africa can become the world’s green manufacturing powerhouse appeared first on The Nation Newspaper.","As the President of the Federal Republic of Nigeria, I lead a country of more than 200 million people. At the same time, in my role as chair of the...The post Africa can become the world’s green manufacturing powerhouse appeared first on The Nation Newspaper.",https://thenationonlineng.net/africa-can-become-the-worlds-green-manufacturing-powerhouse/,2023-12-12T23:21:34+00:00,2023-12-12T23:21:34+00:00,2023-12-12T23:21:34+00:00,US,thenationonlineng
News,website,news_api,Tinubu’s outsized COP28 delegation to costs N880m to fly,"Tinubu’s outsized COP28 delegation to costs N880m to fly Bola Ahmed Tinubu, President of the Federal Republic of Nigeria who is participating in the Climate Change Conference (COP28) arrivedread more Tinubu’s outsized COP28 delegation to costs N880m to fly","Bola Ahmed Tinubu, President of the Federal Republic of Nigeria who is participating in the Climate Change Conference (COP28) arrivedread more Tinubu’s outsized COP28 delegation to costs N880m to fly",https://businessday.ng/news/article/tinubus-outsized-cop28-delegation-to-costs-n880m-to-fly/,2023-12-02T22:30:14+00:00,2023-12-02T22:30:14+00:00,2023-12-02T22:30:14+00:00,US,businessdayonline
News,website,news_api,FULL TEXT: President Tinubu budget presentation at National Assembly,"FULL TEXT: President Tinubu budget presentation at National Assembly In furtherance of my sacred duties and obligations as President of the Federal Republic of Nigeria, it is my honour to be here today to present my administration’s 2024 Budget...The post FULL TEXT: President Tinubu budget presentation at National Assembly appeared first on The Nation Newspaper.","In furtherance of my sacred duties and obligations as President of the Federal Republic of Nigeria, it is my honour to be here today to present my administration’s 2024 Budget...The post FULL TEXT: President Tinubu budget presentation at National Assembly appeared first on The Nation Newspaper.",https://thenationonlineng.net/full-text-president-tinubu-budget-presentation-at-national-assembly/,2023-11-29T11:28:39+00:00,2023-11-29T11:28:39+00:00,2023-11-29T11:28:39+00:00,US,thenationonlineng
News,website,news_api,Expectations from Tinubu Presidency,"Expectations from Tinubu Presidency The Supreme Court of Nigeria on Thursday, October 26, affirmed the All Progressives Congress (APC) presidential candidate, Asiwaju Bola Ahmed Tinubu’s election as President of the Federal Republic of Nigeria...The post Expectations from Tinubu Presidency appeared first on The Nation Newspaper.","The Supreme Court of Nigeria on Thursday, October 26, affirmed the All Progressives Congress (APC) presidential candidate, Asiwaju Bola Ahmed Tinubu’s election as President of the Federal Republic of Nigeria...The post Expectations from Tinubu Presidency appeared first on The Nation Newspaper.",https://thenationonlineng.net/expectations-from-tinubu-presidency/,2023-11-09T02:02:23+00:00,2023-11-09T02:02:23+00:00,2023-11-09T02:02:23+00:00,US,thenationonlineng
News,website,news_api,"PM Narendra Modi met H.E. Mr. Bola Ahmed Tinubu, President of Nigeria on the sidelines of the G20 Summit in New Delhi","PM Narendra Modi met H.E. Mr. Bola Ahmed Tinubu, President of Nigeria on the sidelines of the G20 Summit in New Delhi Prime Minister Shri Narendra Modi met H.E. Mr. Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, on 10 September 2023, on the sidelines of the G20 Summit in New Delhi. President Tinubu congratulated Prime Minister on the success of India&#8217;s G20 Presidency. He also thanked Prime Minister for ensuring the permanent membership of [&#8230;]","Prime Minister Shri Narendra Modi met H.E. Mr. Bola Ahmed Tinubu, President of the Federal Republic of Nigeria, on 10 September 2023, on the sidelines of the G20 Summit in New Delhi. President Tinubu congratulated Prime Minister on the success of India&#8217;s G20 Presidency. He also thanked Prime Minister for ensuring the permanent membership of [&#8230;]",https://orissadiary.com/pm-narendra-modi-met-h-e-mr-bola-ahmed-tinubu-president-of-nigeria-on-the-sidelines-of-the-g20-summit-in-new-delhi/,2023-09-10T16:27:16+00:00,2023-09-10T16:27:16+00:00,2023-09-10T16:27:16+00:00,US,orissadiary
News,website,news_api,ECOWAS Takes Decisive Actions to Restore Constitutional Order in Niger,"ECOWAS Takes Decisive Actions to Restore Constitutional Order in Niger As ECOWAS takes bold steps to restore constitutional order in Niger, the region remains committed to upholding peace, stability, and democratic governance.&nbsp;by Our Diplomatic Affairs EditorIn an extraordinary session convened in Abuja, Nigeria, the Authority of Heads of State and Governments of the Economic Community of West African States (ECOWAS) met under the chairmanship of Bola Ahmed Tinubu, President of the Federal Republic of Nigeria and Chair of the ECOWAS Authority, to address the ongoing crisis in the Republic of Niger. The session was called in response to the illegal detention...","As ECOWAS takes bold steps to restore constitutional order in Niger, the region remains committed to upholding peace, stability, and democratic governance.&nbsp;by Our Diplomatic Affairs EditorIn an extraordinary session convened in Abuja, Nigeria, the Authority of Heads of State and Governments of the Economic Community of West African States (ECOWAS) met under the chairmanship of Bola Ahmed Tinubu, President of the Federal Republic of Nigeria and Chair of the ECOWAS Authority, to address the ongoing crisis in the Republic of Niger. The session was called in response to the illegal detention...",http://www.srilankaguardian.org/2023/08/ecowas-takes-decisive-actions-to.html,2023-08-11T03:42:03+00:00,2023-08-11T03:42:03+00:00,2023-08-11T03:42:03+00:00,US,srilankaguardian
News,website,news_api,Decentralising the electricity sector – issues arising from the fifth amendment to the Constitution,"Decentralising the electricity sector – issues arising from the fifth amendment to the Constitution In March 2023, the President of the Federal Republic of Nigeria signed 16 constitutional amendment bills into law, including &#8220;the Constitution of the Federal Republic of Nigeria (Fifth Alteration) Bill, No. 33, 2022&#8221; – (the Fifth Amendment&#8221;). The Fifth Amendment effectively alters the Constitution of the Federal Republic of Nigeria 1999 (as amended) (the &#8220;Constitution&#8221;) [&#8230;]read more Decentralising the electricity sector &#8211; issues arising from the fifth amendment to the Constitution","In March 2023, the President of the Federal Republic of Nigeria signed 16 constitutional amendment bills into law, including &#8220;the Constitution of the Federal Republic of Nigeria (Fifth Alteration) Bill, No. 33, 2022&#8221; – (the Fifth Amendment&#8221;). The Fifth Amendment effectively alters the Constitution of the Federal Republic of Nigeria 1999 (as amended) (the &#8220;Constitution&#8221;) [&#8230;]read more Decentralising the electricity sector &#8211; issues arising from the fifth amendment to the Constitution",https://businessday.ng/news/legal-business/article/decentralising-the-electricity-sector-issues-arising-from-the-fifth-amendment-to-the-constitution/,2023-05-08T13:03:37+00:00,2023-05-08T13:03:37+00:00,2023-05-08T13:03:37+00:00,US,businessdayonline
News,website,news_api,"FG postpones 2023 census, exercise to be organised by new administration","FG postpones 2023 census, exercise to be organised by new administration Muhammadu Buhari, the outgoing president of the Federal Republic of Nigeria, has approved the postponement of the 2023 Population and Housing Census to a new date to be determined by the incoming administration. The 2023 population and housing census were initially billed to hold from May 3 to 7 2023. The approval by President Buhari [&#8230;]","Muhammadu Buhari, the outgoing president of the Federal Republic of Nigeria, has approved the postponement of the 2023 Population and Housing Census to a new date to be determined by the incoming administration. The 2023 population and housing census were initially billed to hold from May 3 to 7 2023. The approval by President Buhari [&#8230;]",https://nigerianobservernews.com/2023/04/fg-postpones-2023-census-exercise-to-be-organised-by-new-administration/,2023-04-29T10:02:38+00:00,2023-04-29T10:02:38+00:00,2023-04-29T10:02:38+00:00,US,nigerianobservernews
News,website,news_api,On fake new naira notes,"On fake new naira notes I was gobsmacked after reading the doleful report about the fake one thousand (N1,000) new naira notes given to a Point of Sale (PoS) businessman days ago. This unsavoury incident happened four days after the new naira notes were launched by the incumbent president of the Federal Republic of Nigeria, Mohammadu Buhari. Also, it is [&#8230;]read more On fake new naira notes","I was gobsmacked after reading the doleful report about the fake one thousand (N1,000) new naira notes given to a Point of Sale (PoS) businessman days ago. This unsavoury incident happened four days after the new naira notes were launched by the incumbent president of the Federal Republic of Nigeria, Mohammadu Buhari. Also, it is [&#8230;]read more On fake new naira notes",https://businessday.ng/opinion/article/on-fake-new-naira-notes/,2022-12-29T00:28:13+00:00,2022-12-29T00:28:13+00:00,2022-12-29T00:28:13+00:00,US,Businessday | News You Can Trust
News,website,news_api,Buhari at 80: Tribute to the Finest Officer and Gentleman of our Time,"Buhari at 80: Tribute to the Finest Officer and Gentleman of our Time Today marks the 80th birthday of the charismatic Muhammadu Buhari, President of the Federal Republic of Nigeria. Typical of his nature, this is one very important milestone in his life that he would rather mark privately, only with deep reflection and prayers, devoid of any fanfare. Alas, with a sizeable clan of children and grandchildren [&#8230;]","Today marks the 80th birthday of the charismatic Muhammadu Buhari, President of the Federal Republic of Nigeria. Typical of his nature, this is one very important milestone in his life that he would rather mark privately, only with deep reflection and prayers, devoid of any fanfare. Alas, with a sizeable clan of children and grandchildren [&#8230;]",http://nigerianobservernews.com/2022/12/buhari-at-80-tribute-to-the-finest-officer-and-gentleman-of-our-time/?utm_source=rss&utm_medium=rss&utm_campaign=buhari-at-80-tribute-to-the-finest-officer-and-gentleman-of-our-time,2022-12-17T16:22:21+00:00,2022-12-17T16:22:21+00:00,2022-12-17T16:22:21+00:00,US,nigerianobservernews
News,website,news_api,Delta North Monarchs Drums Supports For Okowa Come 2023,"Delta North Monarchs Drums Supports For Okowa Come 2023 Asaba &#8211; Traditional Rulers in Delta North Senatorial District under the orgies of Delta North Traditional Rulers Forum have vowed to remain in the collective struggle to ensure Delta State Governor, Senator Dr. Ifeanyi Okowa emerges the Vice President of the Federal Republic of Nigeria. The Monarchs also promised to throw their weight behind Prince [&#8230;]","Asaba &#8211; Traditional Rulers in Delta North Senatorial District under the orgies of Delta North Traditional Rulers Forum have vowed to remain in the collective struggle to ensure Delta State Governor, Senator Dr. Ifeanyi Okowa emerges the Vice President of the Federal Republic of Nigeria. The Monarchs also promised to throw their weight behind Prince [&#8230;]",http://nigerianobservernews.com/2022/12/delta-north-monarchs-drums-supports-for-okowa-come-2023/,2022-12-08T18:31:57+00:00,2022-12-08T18:31:57+00:00,2022-12-08T18:31:57+00:00,US,nigerianobservernews
News,website,news_api,African Export Import Bank : IATF2023 Advisory Council Holds 3rd Meeting Virtually&#65532;,"African Export Import Bank : IATF2023 Advisory Council Holds 3rd Meeting Virtually&#65532; (marketscreener.com) H.E Chief Olusegun Obasanjo, GCFR, Chairman of the IATF2023 Advisory Council and former President of the Federal Republic of Nigeria The Advisory Council of the Intra-African Trade Fair 2023 held on 12 October 2022 the third of its regular meetings to review the preparations for the 3rd edition of the trade fair scheduled to take place...https://www.marketscreener.com/quote/stock/AFRICAN-EXPORT-IMPORT-BAN-45428401/news/African-Export-Import-Bank-IATF2023-Advisory-Council-Holds-3rd-Meeting-Virtually-65532-42034732/?utm_medium=RSS&utm_content=20221019","(marketscreener.com) H.E Chief Olusegun Obasanjo, GCFR, Chairman of the IATF2023 Advisory Council and former President of the Federal Republic of Nigeria The Advisory Council of the Intra-African Trade Fair 2023 held on 12 October 2022 the third of its regular meetings to review the preparations for the 3rd edition of the trade fair scheduled to take place...https://www.marketscreener.com/quote/stock/AFRICAN-EXPORT-IMPORT-BAN-45428401/news/African-Export-Import-Bank-IATF2023-Advisory-Council-Holds-3rd-Meeting-Virtually-65532-42034732/?utm_medium=RSS&utm_content=20221019",https://www.marketscreener.com/quote/stock/AFRICAN-EXPORT-IMPORT-BAN-45428401/news/African-Export-Import-Bank-IATF2023-Advisory-Council-Holds-3rd-Meeting-Virtually-65532-42034732/?utm_medium=RSS&utm_content=20221019,2022-10-19T09:53:07+00:00,2022-10-19T09:53:07+00:00,2022-10-19T09:53:07+00:00,US,4-traders
News,website,news_api,"Buhari Confers National Awards On Amusan, Brume, and other CWG Athletes, Gift Cash To Team Nigeria","Buhari Confers National Awards On Amusan, Brume, and other CWG Athletes, Gift Cash To Team Nigeria The president of the Federal Republic of Nigeria, Muhammadu Buhari GCFR has conferred a national honour on Tobi Amusan, Ese Brume and other Nigerian athletes in Abuja. As reported by SportsRation on Monday, Nigeria&#8217;s Athletes to the just concluded Commonwealth Games in Birmingham have been rewarded today. The athletes who secured Nigeria&#8217;s best-ever finish at &#8230;The post Buhari Confers National Awards On Amusan, Brume, and other CWG Athletes, Gift Cash To Team Nigeria appeared first on Nigeria sports news, transfers & gossips.","The president of the Federal Republic of Nigeria, Muhammadu Buhari GCFR has conferred a national honour on Tobi Amusan, Ese Brume and other Nigerian athletes in Abuja. As reported by SportsRation on Monday, Nigeria&#8217;s Athletes to the just concluded Commonwealth Games in Birmingham have been rewarded today. The athletes who secured Nigeria&#8217;s best-ever finish at &#8230;The post Buhari Confers National Awards On Amusan, Brume, and other CWG Athletes, Gift Cash To Team Nigeria appeared first on Nigeria sports news, transfers & gossips.",https://sportsration.com/buhari-confers-national-awards-on-amusan-brume-and-15-other-athletes-gift-cash-to-team-nigeria/?utm_source=rss&utm_medium=rss&utm_campaign=buhari-confers-national-awards-on-amusan-brume-and-15-other-athletes-gift-cash-to-team-nigeria,2022-09-15T19:10:41+00:00,2022-09-15T19:10:41+00:00,2022-09-15T19:10:41+00:00,US,Sportsration: Nigeria Soccer | World Sports
