Ministry,Topic Key,Name,Description,Keywords,Keyword Groups,Category
Agriculture,farmer_sentiment_distress,Farmer Sentiment & Distress,"The welfare and challenges of Nigerian farmers. Covers farmer poverty, debt, displacement due to conflict (herdsmen/farmer clashes), lack of support, and general livelihood struggles.","farmer, smallholder farmer, peasant farmer, farmer debt, farmer poverty, farming community, farmer displacement, herdsmen attack, farmer clash, banditry farm",,agriculture
Agriculture,agricultural_inputs,"Agricultural Inputs: Fertilizer, Seeds & Fuel","Access to and cost of essential farming inputs. Includes Fertilizer (NPK, Urea), improved seeds, seedlings, tractors, farm machinery, and fuel/diesel costs for mechanized farming.","fertilizer, NPK, Urea, seedlings, improved seeds, hybrid seeds, tractor, farm machinery, mechanized farming, farm inputs, agro-chemicals, pesticides, herbicides",,agriculture
Agriculture,food_prices_market_dynamics,Food Prices & Market Dynamics,"Market prices of food items and inflation. Covers the cost of a bag of rice, garri, tomatoes, onions, market inflation, rising food costs, and consumer purchasing power regarding food.","food price, price of rice, cost of garri, food inflation, market price, expensive food, rising cost of food, tomatoes price, onions price, food market",,agriculture
Agriculture,climate_agricultural_disasters,Climate & Agricultural Disasters,"Environmental impact on agriculture. Includes floods destroying farmlands, drought, desertification, climate change effects, and pest infestations (locusts, quelea birds).","flood farm, farmland destroyed, drought, desertification, climate change agriculture, pest infestation, locust, quelea bird, armyworm, delayed rain, dry spell",,agriculture
Agriculture,government_policy_programs,Government Policy & Agricultural Programs,"Government intervention in agriculture. Includes the Anchor Borrowers Programme, CBN agricultural loans, Green Imperative, Ministry of Agriculture initiatives, and agricultural policy frameworks.","Anchor Borrowers, CBN loan agriculture, Green Imperative, Ministry of Agriculture, agricultural policy, agric intervention, NIRSAL, Bank of Agriculture, agricultural subsidy",,agriculture
Agriculture,livestock_fisheries,Livestock & Fisheries,"Animal husbandry and aquaculture. Covers Cattle rearing, Poultry farming, Fishery, Piggery, Ranching, Grazing reserves, NLTP (National Livestock Transformation Plan), and poultry feed costs.","livestock, cattle, poultry, fishery, aquaculture, piggery, ranching, grazing reserve, NLTP, National Livestock Transformation Plan, animal husbandry, poultry feed, fish farming",,agriculture
Agriculture,trade_supply_chain,Trade & Agricultural Supply Chain,"Import and export of agricultural goods. Includes food importation bans, border closures affecting food trade, export of cash crops (Cocoa, Cashew, Sesame), and logistics of moving food from farm to market.","food import, food export, rice import, border closure, cocoa export, cashew export, sesame export, agric trade, food logistics, food transport, food haulage",,agriculture
Agriculture,public_unrest_food_related,Public Unrest & Political Risk (Food-Related),"Social unrest driven by food scarcity or cost. Includes food riots, looting of palliatives or warehouses, protests over hunger, and political instability tied to food security.","food riot, looting warehouse, hunger protest, palliative looting, fight for food, stampede food, hijack food truck","[AND: protest, hunger] | [AND: protest, food]",agriculture
Health,health_governance_policy,Governance & Health Policy,"Strategic leadership and regulation of the health sector. Includes the National Health Act, health financing, budget allocation for health, NHIS (National Health Insurance Scheme), Basic Health Care Provision Fund (BHCPF), and Ministry of Health policies.","National Health Act, NHIS, National Health Insurance, health budget, health financing, BHCPF, Basic Health Care Provision Fund, Ministry of Health, health policy, health reform, universal health coverage, UHC",,health
Health,disease_outbreaks_surveillance,Disease Outbreaks & Surveillance,"Monitoring and response to epidemic-prone diseases. Covers Lassa Fever, Cholera, COVID-19, Meningitis, Monkeypox, Ebola, and NCDC (Nigeria Centre for Disease Control) surveillance activities.","Lassa Fever, Cholera, COVID-19, Meningitis, Monkeypox, Ebola, Diphtheria, NCDC, disease outbreak, epidemic, pandemic, surveillance, contact tracing",,health
Health,endemic_infectious_diseases,Endemic & Infectious Diseases,"Ongoing management of burden diseases. Includes Malaria, Tuberculosis (TB), HIV/AIDS, Neglected Tropical Diseases (NTDs), and treatment programs for these conditions.","Malaria, Tuberculosis, TB, HIV, AIDS, antiretroviral, ART, malaria treatment, typhoid, hepatitis, NTD, neglected tropical disease",,health
Health,antimicrobial_resistance,Antimicrobial Resistance & Hospital Infections,"Issues related to drug resistance and hospital safety. Covers antibiotic resistance, superbugs, rational use of medicines, and hospital-acquired infections.","antimicrobial resistance, AMR, antibiotic resistance, superbug, drug resistance, rational use of medicine, hospital infection, nosocomial",,health
Health,hospitals_healthcare_facilities,Hospitals & Healthcare Facilities,"Infrastructure and state of medical centers. Includes Teaching Hospitals, Federal Medical Centres (FMCs), General Hospitals, Primary Healthcare Centers (PHCs), hospital equipment, and facility conditions.","Teaching Hospital, Federal Medical Centre, FMC, General Hospital, PHC, Primary Healthcare Center, hospital equipment, hospital infrastructure, health center, clinic, hospital ward",,health
Health,health_workforce,Health Workforce,"Human resources for health. Includes Doctors, Nurses, Pharmacists, Lab Scientists, brain drain ('Japa'), shortage of staff, and recruitment of health workers.","doctor, nurse, pharmacist, lab scientist, medical staff, health worker, brain drain, japa doctor, shortage of doctors, medical consultant, resident doctor",,health
Health,workforce_strikes_protests,Workforce Strikes & Protests,"Industrial actions by health unions. Covers strikes by NMA (Nigerian Medical Association), NARD (National Association of Resident Doctors), JOHESU, and demands for salary arrears or hazard allowance.","NMA, NARD, JOHESU, NANNM, doctors strike, health worker strike, hazard allowance, salary arrears, resident doctors strike",,health
Health,drugs_pharmaceuticals,Drugs & Pharmaceuticals,"Regulation and supply of medicines. Includes NAFDAC activities, fake/substandard drugs, drug supply chains, pharmacy regulation, and cost of medication.","NAFDAC, fake drugs, substandard drugs, counterfeit drugs, pharmaceutical, drug supply, cost of drugs, medication, pharmacy, drug enforcement",,health
Health,vaccines_immunization,Vaccines & Immunization,"Vaccination programs and coverage. Includes NPHCDA (National Primary Health Care Development Agency), routine immunization, polio eradication, measles vaccine, and vaccine storage/cold chain.","vaccine, immunization, vaccination, NPHCDA, polio, measles vaccine, cold chain, routine immunization, yellow fever card",,health
Health,maternal_child_health,Maternal & Child Health,"Health of mothers and children. Covers maternal mortality, infant mortality, antenatal care, delivery services, family planning, and reproductive health.","maternal health, child health, maternal mortality, infant mortality, antenatal, delivery, childbirth, family planning, reproductive health, midwife, under-5 mortality",,health
Health,nutrition_food_security,Nutrition & Food Security,"Nutritional status of the population. Covers malnutrition, stunting in children, wasting, micronutrient deficiency, and severe acute malnutrition (SAM).","malnutrition, stunting, wasting, severe acute malnutrition, SAM, ready to use therapeutic food, RUTF, micronutrient, nutritional status",,health
Health,public_sentiment_complaints,Public Sentiment & Complaints,"General public feedback on health services. Includes negligence, poor attitude of staff, rejection of patients (especially gunshot victims), and patient satisfaction.","medical negligence, hospital negligence, poor treatment, rejection of patient, gunshot victim hospital, doctor attitude, nurse attitude, hospital complaint",,health
Health,health_misinformation_rumors,Health Misinformation & Rumors,"Spread of false health information. Includes vaccine hesitancy, fake cures, herbal remedy myths, and conspiracy theories affecting public health.","fake cure, herbal cure claim, vaccine conspiracy, health rumor, health myth, anti-vax, vaccine hesitancy",,health
Health,health_emergencies_disasters,Health Emergencies & Disasters,"Mass casualty events and acute health crises. Includes building collapses, explosions, mass accidents requiring emergency response, and ambulance services.","mass casualty, emergency response, ambulance, paramedic, building collapse health, explosion victim, casualty ward, emergency room, accident victim",,health
Transport,transport_governance,"Ministry, Leadership & Governance","Activities of the Federal Ministry of Transportation. Includes policy announcements, ministerial inspections, transport budgets, and regulatory frameworks governing the sector.","Ministry of Transportation, Minister of Transport, transport policy, transport budget, transport regulation, federal executive council transport",,transport
Transport,road_transport_highways,Road Transport & Highways,"Condition and management of federal roads and highways. Covers potholes, road rehabilitation, FERMA (Federal Roads Maintenance Agency), and major expressways (Lagos-Ibadan, Abuja-Kano).","FERMA, federal road, expressway, highway, pothole, bad road, road rehabilitation, road construction, Lagos-Ibadan expressway, Abuja-Kaduna road, Second Niger Bridge",,transport
Transport,rail_transport,Rail Transport,"Railway services and infrastructure. Includes NRC (Nigeria Railway Corporation), train schedules, ticket handling, Abuja-Kaduna train, Lagos-Ibadan rail, and Warri-Itakpe line.","NRC, Nigeria Railway Corporation, train service, railway, Abuja-Kaduna train, Lagos-Ibadan rail, rail line, train station, train ticket, e-ticketing",,transport
Transport,aviation_airports,Aviation & Airports,"Air travel sector. Covers FAAN, NCAA, airport conditions (MMIA, Nnamdi Azikiwe), flight delays, airline operations (Air Peace, etc.), and aviation fuel scarcity.","FAAN, NCAA, airport, flight delay, airline, aviation fuel, Jet A1, domestic flight, international terminal, Muritala Muhammed Airport, Nnamdi Azikiwe Airport",,transport
Transport,maritime_ports,"Maritime, Ports & Logistics","Sea transport and ports authority. Includes NPA (Nigerian Ports Authority), NIMASA, Apapa Port, Tin Can Island, port congestion, customs clearance, and waterways.","NPA, Nigerian Ports Authority, NIMASA, Apapa Port, Tin Can Island, Lekki Deep Sea Port, port congestion, clearing agent, customs transport, inland waterways, NIWA",,transport
Transport,transport_safety_accidents,"Safety, Accidents & Emergencies","Transport safety and road crashes. Includes FRSC (Federal Road Safety Corps), road accidents, tanker explosions, train derailments, and air crashes/incidents.","FRSC, Road Safety, road accident, auto crash, tanker explosion, train derailment, plane crash, emergency response transport, fatality road",,transport
Transport,infrastructure_projects_delivery,Infrastructure Projects & Delivery,"Major transport infrastructure projects. Covers completion of rail lines, new airport terminals, bridge construction, and project timelines.","rail project, airport terminal project, road project, infrastructure delivery, commissioning transport, construction delay, contractor road",,transport
Transport,urban_transport_fares,"Urban Transport, Fares & Green Mobility","Intra-city commuting and costs. Includes transport fares (T-fare), BRT buses, Okada/Keke bans, Danfo, CNG buses (Compressed Natural Gas), and electric vehicle initiatives.","transport fare, t-fare, bus fare, BRT, Danfo, Okada ban, Keke NAPEP, CNG bus, transport cost, commuter, traffic jam, go-slow",,transport
Transport,transport_labour_unions,"Public Sentiment, Labour & Media","Transport unions and worker sentiment. Covers NURTW (National Union of Road Transport Workers), RTEAN, NARTO, transport strikes, and public complaints.","NURTW, RTEAN, NARTO, road transport union, transport strike, agbero, park management, driver union, railway worker strike",,transport
Transport,transport_crisis_signals,Early Warning & Crisis Signals,"Security risks in transport. Includes kidnapping on highways, attacks on trains, robbery in traffic (one chance), and blockades of roads.","kidnap road, highway robbery, train attack, one chance, traffic robbery, road blockade, travel risk, unsafe road",,transport
Youth,youth_sports_governance,Ministry Leadership & Governance,"Governance of the Youth and Sports Development sector. Includes Ministry policies, Minister's activities, sports federation elections, and administrative decisions.","Minister of Youth, Sports Minister, Ministry of Youth and Sports, sports policy, youth policy, sports federation election, NFF president",,youth
Youth,youth_affairs_core,Youth Affairs Core Issues,"General issues affecting the youth demographic. Includes youth demographics, 'Not Too Young To Run', youth inclusion in governance, and national youth conferences.","Nigerian youth, youth inclusion, not too young to run, National Youth Council, NYCN, youth leader, youth participation",,youth
Youth,youth_employment_empowerment,"Youth Employment, Skills & Empowerment","Economic opportunities for youth. Covers unemployment, N-Power, skills acquisition programs, tech empowerment, entrepreneurship grants, and job creation.","youth unemployment, N-Power, skills acquisition, youth empowerment, youth grant, job creation, tech skills, digital skill, youth entrepreneur",,youth
Youth,youth_education_nysc,Education to Employment & NYSC,"Transition from school to work and National Youth Service Corps. Includes NYSC orientation camps, PPA (Place of Primary Assignment), corpers' allowance (allawee), and graduate employability.","NYSC, National Youth Service Corps, corper, orientation camp, PPA, allawee, youth service, passing out parade, POP, CDS",,youth
Youth,youth_protests_activism,"Youth Protests, Activism & Movements","Youth-led social movements and demonstrations. Includes EndSARS, protests against police brutality, student protests, and online activism.","EndSARS, youth protest, police brutality, soro soke, youth movement, student protest, online activism, occupy",,youth
Youth,youth_social_risks,"Mental Health, Drugs & Social Risks","Social challenges facing youth. Includes drug abuse (Codeine, Tramadol, Mkpuru Mmiri), cybercrime (Yahoo Yahoo), cultism, and mental health struggles.","drug abuse, substance abuse, tramadol, codeine, mkpuru mmiri, yahoo yahoo, cybercrime, cultism, youth depression, mental health youth",,youth
Youth,sports_national_international,Sports: National & International,"General participation in major sporting events. Includes Olympics, Commonwealth Games, All Africa Games, and National Sports Festival.","Olympics, Commonwealth Games, All Africa Games, National Sports Festival, Team Nigeria, gold medal, international tournament",,youth
Youth,football_high_sensitivity,Football: High Sensitivity Area,"Football-specific discussions, which are highly emotional in Nigeria. Covers Super Eagles, Super Falcons, NFF (Nigeria Football Federation), World Cup qualifiers, AFCON, and local leagues (NPFL).","Super Eagles, Super Falcons, NFF, Nigeria Football Federation, AFCON, World Cup qualifier, NPFL, Enyimba, Kano Pillars, football match",,youth
Youth,other_major_sports,Other Major Sports,"Non-football sports with significant following. Includes Basketball (D'Tigress/D'Tigers), Athletics (Track & Field), Boxing, and Table Tennis.","D'Tigress, D'Tigers, basketball nigeria, athletics nigeria, Tobi Amusan, boxing nigeria, table tennis nigeria, Aruna Quadri",,youth
Youth,sports_infrastructure,Sports Infrastructure & Facilities,"State of stadiums and training facilities. Includes National Stadium Lagos/Abuja, decaying infrastructure, pitch conditions, and renovation projects.","National Stadium, Surulere Stadium, Moshood Abiola Stadium, bad pitch, stadium renovation, sports facility, training pitch",,youth
Youth,sports_funding_integrity,"Sports Funding, Governance & Integrity","Financial management in sports. Covers corruption allegations, funding for tournaments, unpaid match bonuses, and leadership tussles in federations.","sports corruption, NFF scandal, unpaid bonus, owing player, sports budget, missing fund, sports ministry funding",,youth
Youth,athletes_officials_welfare,"Athletes, Coaches & Officials","Welfare of sports personnel. Includes hiring/firing of coaches (e.g., Super Eagles coach), player welfare, and treatment of athletes.","Super Eagles Coach, Jose Peseiro, Finidi George, athlete welfare, owing salary coach, technical adviser, foreign coach",,youth
Youth,fan_sentiment_risk,"Fan Sentiment, Violence & Matchday Risks","Crowd behavior and safety. Includes stadium violence, hooliganism, pitch invasion, and angry fan reactions.","stadium violence, pitch invasion, hooliganism, angry fan, match fixing, referee attack",,youth
Youth,youth_digital_trends,Social Media & Influencer Monitoring,"Youth culture on digital platforms. Includes trends on Twitter/X, TikTok, influential voices, and viral challenges.","twitter influencer, viral trend, youth challenge, tiktok nigeria, social media trend, influencer marketing",,youth
Youth,youth_media_reputation,Media Reputation & Crisis Signals,"Public perception of the ministry/minister in media. Includes press releases, controversies, and viral negative stories.","minister scandal, ministry statement, press release youth, viral video minister, youth minister trend",,youth
Youth,youth_regional_demographics,Regional & Demographic Signals,Youth issues specific to regions (North vs South) or demographics (Rural vs Urban youth).,"northern youth, southern youth, arewa youth, ohanaeze youth, rural youth, urban youth",,youth
Youth,youth_future_trends,Future Facing & Strategic Signals,"Emerging long-term issues for youth. Includes future of work, tech adoption, and generational shifts (Gen Z).","future of work, Gen Z nigeria, tech adoption, digital economy youth, youth migration",,youth
Youth,youth_early_warning,Early Warning & Escalation Keywords,"Keywords indicating imminent youth unrest or crisis. Includes mobilization for protests, threats of violence, or hashtags calling for action.","occupy lekki, shutdown, mass action, revolution now, youth uprising, mobilize protest",,youth
Finance,finance_leadership_governance,Leadership & Governance,"Leadership of the Federal Ministry of Finance and related agencies. Includes the Minister of Finance, CBN Governor, monetary policy decisions, and economic management team activities.","Minister of Finance, Wale Edun, CBN Governor, Yemi Cardoso, Ministry of Finance, Central Bank of Nigeria, Monetary Policy Committee, MPC meeting, economic team",,finance
Finance,macroeconomic_indicators,Macroeconomic Indicators,"Key indicators of the Nigerian economy. Covers inflation rate, GDP growth, exchange rate (Naira vs Dollar), external reserves, and unemployment rate.","inflation rate, GDP growth, exchange rate, naira value, dollar rate, FX crisis, external reserves, economic recession, cost of living crisis, food inflation finance",,finance
Finance,revenue_taxation,Revenue & Taxation,"Government revenue generation and tax administration. Includes FIRS (Federal Inland Revenue Service), VAT, Company Income Tax, Stamp Duty, and TSA (Treasury Single Account).","FIRS, tax collection, VAT, Value Added Tax, Company Income Tax, Stamp Duty, tax revenue, TSA, Treasury Single Account, revenue generation, tax evasion, FACC allocation",,finance
Finance,development_finance_institutions,Development Finance Institutions,"State-owned financial institutions supporting development. Includes Bank of Industry (BOI), NEXIM Bank, Development Bank of Nigeria (DBN), and Bank of Agriculture interventions.","Bank of Industry, BOI, NEXIM Bank, Development Bank of Nigeria, DBN, DFI, Bank of Agriculture loan, SME funding",,finance
Finance,digital_finance_fintech,Digital Finance & Fintech,"Financial technology and digital currency. Covers eNaira, cashless policy, crypto regulation, fintech startups, and electronic payment systems.","eNaira, CBDC, fintech nigeria, mobile money, POS charges, cashless policy, cryptocurrency ban, crypto regulation, digital banking, NIBSS",,finance
Finance,infrastructure_priority_sectors,Infrastructure & Priority Sectors Funding,"Financing for major infrastructure and critical sectors. Includes Sukuk bonds, Eurobonds, sovereign debt for rail/power projects, and infrastructure funds.","Sukuk bond, Eurobond, infrastructure financing, Green bond, sovereign debt, borrowing for infrastructure, Chinese loan",,finance
Finance,nigeria_fiscal_terms,Nigeria-Specific Fiscal Terms,"Specific terminology related to Nigerian fiscal management. Includes FAAC (Federation Account Allocation Committee), budget deficit, debt servicing, and subsidy removal impact.","FAAC, federation account, budget deficit, debt servicing, subsidy removal, fuel subsidy finance, supplementary budget, appropriation bill, fiscal policy",,finance
Interior,interior_core_identity,Ministry of Interior – Core Identity,"General activities and leadership of the Ministry of Interior. Includes the Minister's engagements, policy announcements, and strategic direction of the ministry.","Minister of Interior, Olubunmi Tunji-Ojo, Ministry of Interior, interior ministry policy, federal ministry of interior",,interior
Interior,interior_strategic_reform,Ministry Strategic & Reform Agenda,"Reform initiatives within the ministry. Includes passport process automation, prison decongestion reforms, and internal security strategy.","passport reform, prison reform, interior ministry reform, decongestion strategy, border security reform",,interior
Interior,interior_digital_assets,Official Digital Assets & Hashtags,"Official online presence and campaigns. Includes monitoring of official hashtags like #NewPassportProcess, #InteriorReform, and viral social media discussions.","#NewPassportProcess, interior ministry handle, #ReformInterior, official hashtag interior",,interior
Interior,nigeria_immigration_service,Nigeria Immigration Service (NIS),"Immigration and border control. Covers passport issuance, backlog clearance, visa on arrival, boarder patrol, and illegal migration.","NIS, Nigeria Immigration Service, Nigerian passport, passport booklet, passport renewal, immigration officer, border patrol, visa on arrival",,interior
Interior,nigerian_correctional_service,Nigerian Correctional Service (NCoS),"Prison management and inmate welfare. Covers jailbreaks, prison congestion, inmate rehabilitation, and the change from 'Prisons' to 'Correctional Service'.","NCoS, Correctional Service, Nigerian Prison, prison congestion, jailbreak, inmate welfare, correctional centre, Kuje prison, Kirikiri",,interior
Interior,nscdc_civil_defence,Nigeria Security & Civil Defence Corps (NSCDC),"Civil defence and critical infrastructure protection. Covers Agro-Rangers, pipeline vandalism, protecting national assets, and private guard regulation.","NSCDC, Civil Defence, Agro-Rangers, pipeline vandalism, critical infrastructure protection, private guard company, civil defence officer",,interior
Interior,federal_fire_service,Federal Fire Service,"Fire prevention and emergency response. Covers market fires, fire outbreaks, fire safety regulation, and equipment procurement.","Federal Fire Service, fire outbreak, market fire, fire fighter, fire truck, emergency fire response",,interior
Interior,cdcfib_oversight,CDCFIB Oversight Body,"Civil Defence, Correctional, Fire and Immigration Services Board. Covers recruitment, promotion, and discipline of officers in the paramilitary agencies.","CDCFIB, Civil Defence Board, Immigration Board, paramilitary recruitment, officer promotion interior",,interior
Interior,nigeria_evisa_system,Nigeria E-Visa System,"Electronic visa processing and administration. Covers online visa applications, business visa on arrival functionality, and tourist e-visas.","e-visa, electronic visa, visa on arrival business, online visa application, nigeria visa portal",,interior
Interior,expatriate_residence_permit,Expatriate Residence Permit (CERPAC),"Regulations for foreigners in Nigeria. Covers CERPAC (Combined Expatriate Residence Permit and Aliens Card), expatriate quota, and monthly quota limits.","CERPAC, expatriate quota, residence permit, aliens card, foreign worker permit",,interior
Interior,interior_emergency_travel,Emergency Travel Documents,Issuance of Emergency Travel Certificates (ETC) for Nigerians abroad needed to return home urgently.,"Emergency Travel Certificate, ETC document, emergency travel document, repatriation document",,interior
Interior,interas_governance,INTERAS Digital Governance,Technological governance systems within the ministry. Covers internal portals and integrated service delivery platforms.,"INTERAS, interior ministry portal, integrated service platform",,interior
Interior,interior_performance_management,Performance Management System,Tracking and evaluation of ministry performance. Covers KPI monitoring for officers and agencies.,"performance management interior, KPI tracking interior, ministry appraisal",,interior
Interior,interior_legal_regulatory,Legal & Regulatory Framework,"Laws governing interior affairs. Includes the Immigration Act, Correctional Service Act, and Marriage Act (Federal Marriage Registry).","Immigration Act, Correctional Service Act, Marriage Registry, court marriage, Ikoyi registry",,interior
Power,power_governance,"Ministry, Leadership & Governance","Leadership and policy direction of the Ministry of Power. Includes the Minister of Power's activities, NERC (Nigerian Electricity Regulatory Commission) regulations, and electricity acts.","Minister of Power, Adebayo Adelabu, Ministry of Power, NERC, Electricity Act, power sector regulation, electricity policy",,power
Power,electricity_gen_trans_dist,"Electricity Generation, Transmission & Distribution","The entire power value chain. Covers GenCos (Generation Companies), TCN (Transmission Company of Nigeria), DisCos (Distribution Companies), national grid stability, and power plants (Egbin, Kainji, Shiroro).","TCN, Transmission Company of Nigeria, National Grid, grid collapse, GenCo, DisCo, Egbin Power, Kainji Dam, Shiroro power, Ikeja Electric, Eko Disco, Abuja Disco, Enugu Disco, Kano Disco, power generation, power transmission",,power
Power,power_fuel_gas_supply,Fuel & Gas Supply for Power,"Gas supply to power plants. Covers gas shortages, pipeline vandalism affecting power, and agreements with gas suppliers.","gas supply power, gas shortage power, thermal station, gas pipeline vandalism, gas to power",,power
Power,energy_pricing_tariffs,"Energy Pricing, Tariffs & Subsidy","Cost of electricity. Covers Band A, Band B tariffs, electricity subsidy removal, estimated billing, and prepaid meters.","Band A tariff, electricity tariff, tariff increase, prepaid meter, estimated billing, crazy bill, electricity subsidy, MYTO, Multi-Year Tariff Order, cost of electricity",,power
Power,renewable_energy_transition,Renewable Energy & Energy Transition,"Clean energy initiatives. Covers solar power, mini-grids, REA (Rural Electrification Agency), hydroelectricity, and Nigeria's energy transition plan.","solar power, renewable energy, mini-grid, REA, Rural Electrification Agency, clean energy, hydro power, Zungeru Hydro, Mambilla Plateau project",,power
Power,power_public_sentiment,Public Sentiment & Citizen Complaints,"Public reaction to power supply. Covers blackouts, load shedding, 'up nepa', 'no light', and complaints about DisCos.","no light, blackout, load shedding, up nepa, restore light, power outage, darkness, transformer bad",,power
Power,power_projects_infrastructure,"Projects, Infrastructure & Reforms","Major power projects and reforms. Includes the Siemens Presidential Power Initiative (PPI), construction of new substations, and transmission lines.","Siemens power deal, Presidential Power Initiative, PPI Siemens, power project, new substation, transmission line construction",,power
Power,power_infrastructure_security,Critical Infrastructure Security,"Protection of power assets. Covers vandalism of transmission towers, theft of transformers, and sabotage.","vandalism power tower, cable theft, transformer theft, grid sabotage, power infrastructure attack",,power
Power,power_media_narrative,"Media, Opposition & Political Narrative",Political discourse around power. Includes opposition criticism of power failure and media editorials on the energy crisis.,"power sector crisis, failed power reform, opposition power criticism, energy crisis editorial",,power
Power,power_regional_issues,State & Regional Energy Issues,State government involvement in power (following the new Electricity Act allowing states to generate power).,"state power project, Aba Power, Geometrics Power, state electricity market, Lagos power market",,power
Power,power_investments_partnerships,Investments & International Partnerships,"Funding and loans for power. Includes World Bank loans, AfDB support, and private sector investment.","World Bank power loan, AfDB power, power sector investment, electricity loan",,power
Power,power_operational_metrics,Operational Metrics & Performance,"Technical performance data. Covers peak generation (MW), system collapse frequency, and metering gap.","megawatts generated, peak generation, metering gap, system collapse count, allocated MW",,power
Communications,comms_minister_leadership,Minister Ministry & Leadership,"Leadership of the Ministry of Communications, Innovation and Digital Economy. Includes the Minister's roadmap (3MTT), policy announcements, and strategic vision.","Minister of Communications, Bosun Tijani, Ministry of Digital Economy, communications minister, digital economy policy, FMCIDE",,communications
Communications,telecom_connectivity,Telecom & Connectivity,"Telecommunications sector. Covers MTN, Glo, Airtel, 9mobile, NCC (Nigerian Communications Commission), 5G rollout, network quality, and dropped calls.","MTN Nigeria, Glo network, Airtel Nigeria, 9mobile, NCC, Nigerian Communications Commission, 5G network, telecom service, poor network, call drop, Starlink nigeria",,communications
